,Library,NAME,Empty,Loc
14,"Serapeum of Alexandria, offshoot collection of the great Library of Alexandria",Egypt,,"Serapeum of Alexandria, offshoot collection of the great Library of Alexandria"
15,"Temple of Edfu Archive/Library (237â€“57 B.C.)This library was an extension of the Temple itself. The walls of this chamber are bestrewn with engravings and captions depicting numerous receptacles filled with manuscripts of papyrus as well as scrolls bound in leather. These documents chronicled the circadian workings of the temple, but also detailed construction drafts and directives on how the temple walls should be decorated.",Egypt,,"Temple of Edfu Archive/Library237â€“57 B.C.his library was an extension of the Temple itself. The walls of this chamber are bestrewn with engravings and captions depicting numerous receptacles filled with manuscripts of papyrus as well as scrolls bound in leather. These documents chronicled the circadian workings of the temple, but also detailed construction drafts and directives on how the temple walls should be decorated."
17,"The Library of AksumThe kingdom of Aksum, by the first century CE, was a noted trading hub for Europe, Asia, and Africa. By the third century, it was the equal of the Roman, Persian, and Chinese empires. Aksum had a unique written language, Ge'ez, and their libraries held their own translation of the Christian Bible, and other important early Christian works. It is believed that Coptic monks translated many of these works. Notably, the Book of Enoch, a pre-Christian religious text, was originally written in Ge'ez. By the 7th century CE, the kingdom of Aksum fell due to Islamic expansion, agricultural difficulties, and a trading shift away from the Red Sea in favor of the Persian Gulf, but it is remembered as a society that celebrated literacy, education, and libraries.",Ethiopia,,"The Library of AksumThe kingdom of Aksum, by the first century CE, was a noted trading hub for Europe, Asia, and Africa. By the third century, it was the equal of the Roman, Persian, and Chinese empires. Aksum had a unique written language, Ge'ez, and their libraries held their own translation of the Christian Bible, and other important early Christian works. It is believed that Coptic monks translated many of these works. Notably, the Book of Enoch, a pre-Christian religious text, was originally written in Ge'ez. By the 7th century CE, the kingdom of Aksum fell due to Islamic expansion, agricultural difficulties, and a trading shift away from the Red Sea in favor of the Persian Gulf, but it is remembered as a society that celebrated literacy, education, and libraries."
19,The Library of Aristotle (Athens) (384â€“321 B.C.)The Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.,Greece,,The Library of AristotleAthens(384â€“321 B.C.he Library of Aristotle was a private library and the earliest one reported on by ancient chroniclers. It is not known what books nor the number of books that were included in the library. Accounts in antiquity state that the library formed part of the later Library of Alexandria in Egypt.
20,Kos Library (Kos) (100 A.D.)The library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.,Greece,,Kos LibraryKos(100 A.D.he library was a local public library situated on the island of Kos and known as a crossroads for academia and philosophical faculties. A record of individuals who were supposedly responsible for the establishment of the library are acknowledged in an inscription near the monument.
21,"The Library of Pantainos (Athens) (100 A.D.)Dedicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD.",Greece,,"The Library of PantainosAthens(100 A.D.edicated to both Athena Archegetis and the Roman emperor Hadrian, the library was connected to the Agora in Athens. Titus Flavius Pantainos had it built, and he, along with his children, also devoted it to the citizens of Athens. While the precise date of its dedication is not clear, it is believed to have been dedicated between 98 AD and 102 AD. There is speculation that the library may have actually been built by the father of Pantainos. Being a Roman-period library, the design is quite unconventional. A spacious alcove with an adjoining courtyard enclosed by three galleries formed the arrangement of the structure. An inscription discovered dictates proper library etiquette: ""No book is to be taken out because we have sworn an oath. The library is to be open first hour until the sixth."" The library was ultimately consumed by the invading Germanic Heruli tribe in 267 AD."
22,"The Library of Rhodes (Rhodes) (100 A.D.)The library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian.",Greece,,"The Library of RhodesRhodes(100 A.D.he library on the island of Rhodes was a distinct component of the larger gymnasium structure. An enclosure that had been excavated revealed a section of a catalog analogous to modern library catalogs. The catalog, which classified titles by subject, displayed an inventory of authors in consecutive order together with their published efforts. It has also been determined that the library employed a qualified librarian."
24,The great seats of learning in the ancient Indian subcontinent include:,India,,The great seats of learning in the ancient Indian subcontinent include:
25,"Takshasila (6th to 5th century BC in modern-day Pakistan),",India,,Takshasila6th to 5th century BC in modern-day Pakistan
26,"Nalanda (founded in 427) was considered ""one of the first great universities in recorded history"". In 1193, the Nalanda University complex was invaded and sacked by the Slave Dynasty under the Turkic Muslim general Bakhtiyar Khilji; this event is seen as a milestone in the decline of Buddhism in India.",India,,"Nalandafounded in 427was considered ""one of the first great universities in recorded history"". In 1193, the Nalanda University complex was invaded and sacked by the Slave Dynasty under the Turkic Muslim general Bakhtiyar Khilji; this event is seen as a milestone in the decline of Buddhism in India."
27,Vikramshila (8th century),India,,Vikramshila8th century)
28,"Kanchipuram and other universities, also maintained vast libraries of palm leaf manuscripts on various subjects, ranging from theology to astronomy.",India,,"Kanchipuram and other universities, also maintained vast libraries of palm leaf manuscripts on various subjects, ranging from theology to astronomy."
30,"The Academy of Gondishapur in western Iran, established during the Persian Sassanid Empire in the 3rd through 6th centuries.The breadth of this institution was enormous and included a university, teaching hospital, and a library filled with over 400,000 titles. The academy was the epitome of the Sassanid Empire with its faculty highly proficient in the conventions of Zoroastrianism and ancient Persian as well as classical Indian scholarship.",Iran,,"The Academy of Gondishapur in western Iran, established during the Persian Sassanid Empire in the 3rd through 6th centuries.The breadth of this institution was enormous and included a university, teaching hospital, and a library filled with over 400,000 titles. The academy was the epitome of the Sassanid Empire with its faculty highly proficient in the conventions of Zoroastrianism and ancient Persian as well as classical Indian scholarship."
32,"The Library of Ashurbanipal (established 668â€“627 BC) in Nineveh (near modern Mosul, Iraq)Long considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds.",Iraq,,"The Library of Ashurbanipalestablished 668â€“627 BCin Ninevehnear modern Mosul, Iraqong considered to be the first systematically collected library, was rediscovered in the 19th century. While the library had been destroyed, many fragments of the ancient cuneiform tablets survived, and have been reconstructed. Large portions of the Epic of Gilgamesh were among the many finds."
33,Nippur temple library (2500 B.C.)The earliest version of the Great Flood was discovered here.,Iraq,,Nippur temple library2500 B.C.he earliest version of the Great Flood was discovered here.
34,"Nuzi (Modern Yorgan Tepe) (1500 B.C.)This archive consisted of over 6,000 tablets written primarily in Babylonian cuneiform, however a select few were composed in the indigenous Hurrian language.",Iraq,,"NuziModern Yorgan Tepe(1500 B.C.his archive consisted of over 6,000 tablets written primarily in Babylonian cuneiform, however a select few were composed in the indigenous Hurrian language."
35,"The House of Wisdom (Baghdad) (9thâ€“13th centuries)An Abbasid-era library and Arabic translation institute in Baghdad, Iraq. 8th century â€“ 1258. The academy was expressed by not only the library, but a celestial observatory. There is a dearth of information on this institution and the majority of knowledge about it comes from the accounts of the Muslim scholar and bibliographer Ibn al-Nadim.",Iraq,,"The House of WisdomBaghdad(9thâ€“13th centuriesn Abbasid-era library and Arabic translation institute in Baghdad, Iraq. 8th century â€“ 1258. The academy was expressed by not only the library, but a celestial observatory. There is a dearth of information on this institution and the majority of knowledge about it comes from the accounts of the Muslim scholar and bibliographer Ibn al-Nadim."
37,"Libraries of the Forum, consisted of separate libraries founded in the time of Augustus near the Roman Forum that contained both Greek and Latin texts, separately housed, as was the conventional practice. There were libraries in the Porticus Octaviae near the Theatre of Marcellus, in the temple of Apollo Palatinus, and in the Bibliotheca Ulpia in the Forum of Trajan.",Italy,,"Libraries of the Forum, consisted of separate libraries founded in the time of Augustus near the Roman Forum that contained both Greek and Latin texts, separately housed, as was the conventional practice. There were libraries in the Porticus Octaviae near the Theatre of Marcellus, in the temple of Apollo Palatinus, and in the Bibliotheca Ulpia in the Forum of Trajan."
38,Atrium Liberatatis public library of Asinius Pollio,Italy,,Atrium Liberatatis public library of Asinius Pollio
39,"The Villa of the Papyri, in Herculaneum, ItalyThe only library known to have survived from classical antiquity. This villa's large private collection may have once belonged to Julius Caesar's father-in-law, Lucius Calpurnius Piso Caesoninus in the 1st century BC. Buried by the eruption of Mount Vesuvius that destroyed the town in 79 AD, it was rediscovered in 1752, around 1800 carbonized scrolls were found in the villa's top story. Using modern techniques such as multi-spectral imaging, previously illegible or invisible sections on scrolls that have been unrolled are now being deciphered. It is possible that more scrolls remain to be found in the lower, unexcavated levels of the villa.",Italy,,"The Villa of the Papyri, in Herculaneum, ItalyThe only library known to have survived from classical antiquity. This villa's large private collection may have once belonged to Julius Caesar's father-in-law, Lucius Calpurnius Piso Caesoninus in the 1st century BC. Buried by the eruption of Mount Vesuvius that destroyed the town in 79 AD, it was rediscovered in 1752, around 1800 carbonized scrolls were found in the villa's top story. Using modern techniques such as multi-spectral imaging, previously illegible or invisible sections on scrolls that have been unrolled are now being deciphered. It is possible that more scrolls remain to be found in the lower, unexcavated levels of the villa."
41,"The Theological Library of Caesarea Maritima, a late 3rd century AD establishment, was a great early Christian library. Through Origen of Alexandria and the scholarly priest Pamphilus of Caesarea, the  school won a reputation for having the most extensive ecclesiastical library of the time, containing more than 30,000 manuscripts: Gregory of Nazianzus, Basil the Great, Jerome and others came to study there.",Israel,,"The Theological Library of Caesarea Maritima, a late 3rd century AD establishment, was a great early Christian library. Through Origen of Alexandria and the scholarly priest Pamphilus of Caesarea, the  school won a reputation for having the most extensive ecclesiastical library of the time, containing more than 30,000 manuscripts: Gregory of Nazianzus, Basil the Great, Jerome and others came to study there."
43,Ebla (2500 B.C. â€“ 2250 B.C.)Constitute the oldest organized library yet discovered: see Ebla tablets.,Syria,,Ebla2500 B.C. â€“ 2250 B.C.onstitute the oldest organized library yet discovered: see Ebla tablets.
44,"Ugarit (Modern Ras Shamra) (1200 B.C.)Several thousand texts consisting of diplomatic archives, census records, literary works and the earliest privately owned libraries yet recovered. Even though the tablets were written in several different languages, the most important aspect of the library were the 1400 texts written in a previously unknown tongue called Ugaritic.",Syria,,"UgaritModern Ras Shamra(1200 B.C.everal thousand texts consisting of diplomatic archives, census records, literary works and the earliest privately owned libraries yet recovered. Even though the tablets were written in several different languages, the most important aspect of the library were the 1400 texts written in a previously unknown tongue called Ugaritic."
45,Tell Leilan (Northeast Syria) (1900 B.C.)This archive housed over a thousand clay tablets,Syria,,Tell LeilanNortheast Syria(1900 B.C.his archive housed over a thousand clay tablets
46,"Mari (Modern Tell Hariri) (1900 B.C.)The archive held approximately 15,000 tablets which included works on litigation, letters, foreign negotiations, literary, and theological works",Syria,,"MariModern Tell Hariri(1900 B.C.he archive held approximately 15,000 tablets which included works on litigation, letters, foreign negotiations, literary, and theological works"
47,"Sufiya Mosque Library, Grand Umayyad Mosque (Aleppo) (12th Century)More than 10,000 volumes were housed in this library which were entrusted to the mosque by Prince Sayf al-Dawla.",Syria,,"Sufiya Mosque Library, Grand Umayyad MosqueAleppo(12th Centuryore than 10,000 volumes were housed in this library which were entrusted to the mosque by Prince Sayf al-Dawla."
49,List of destroyed libraries,Seealso,,List of destroyed libraries
50,Apellicon of Teos,Seealso,,Apellicon of Teos
53,"Johnson, Elmer D. (1965) A History of Libraries in the Western World. Scarecrow Press NY",References,,"Johnson, Elmer D.1965A History of Libraries in the Western World. Scarecrow Press NY"
55,"Edwin Wiley (1920). ""Libraries, Ancient"" . Encyclopedia Americana.",Externallinks,,"Edwin Wiley1920 ""Libraries, Ancient"" . Encyclopedia Americana."
